"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Prince Edward Island i3",,
"64301 Bartenders","140","12,300","15,600"
"6431 Occupations in travel and accommodation","260","16,400","21,400"
"64310 Travel counsellors","50","16,200","28,000"
"64311 Pursers and flight attendants","15","0","24,000"
"64312 Airline ticket and service agents","25","0","22,000"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","0","0","0"
"64314 Hotel front desk clerks","170","16,400","19,200"
"6432 Tourism and amusement services occupations","40","7,350","9,000"
"64320 Tour and travel guides","30","7,350","6,000"
"64321 Casino workers","0","0","0"
"64322 Outdoor sport and recreational guides","0","0","0"
"644 Occupations in customer, information and protective services","1,800","28,400","29,200"
"6440 Customer and information services representatives","1,450","27,800","28,840"
"64400 Customer services representatives - financial institutions","215","30,200","29,600"
"64401 Postal services representatives","30","28,600","32,000"
"64409 Other customer and information services representatives","1,210","27,600","28,650"
"6441 Security guards and related security service occupations","350","29,200","30,700"
"64410 Security guards and related security service occupations","350","29,200","30,700"
"65 Sales and service support occupations","7,780","13,100","17,420"
"651 Sales support occupations","2,625","11,300","15,200"
"6510 Cashiers and other sales support occupations","2,625","11,300","15,200"
"65100 Cashiers","1,670","10,700","14,140"
"65101 Service station attendants","65","11,400","16,000"
"65102 Store shelf stockers, clerks and order fillers","800","13,400","16,360"
"65109 Other sales related occupations","90","18,600","24,400"
"652 Support occupations in food, accommodation and tourism","2,965","11,300","15,040"
"6520 Food support occupations","2,555","11,300","15,000"
"65200 Food and beverage servers","580","10,400","12,160"
"65201 Food counter attendants, kitchen helpers and related support occupations","1,940","11,800","15,600"
"65202 Meat cutters and fishmongers - retail and wholesale","35","0","30,000"
"6521 Support occupations in accommodation, travel, tourism and amusement services","320","10,400","13,550"
"65210 Support occupations in accommodation, travel and facilities set-up services","0","0","0"
"65211 Operators and attendants in amusement, recreation and sport","315","10,400","13,800"
"6522 Support occupations in personal services","90","20,000","22,000"
"65220 Pet groomers and animal care workers","90","20,000","22,000"
"65229 Other support occupations in personal services","0","0","0"
"653 Support occupations in cleaning and related services","2,195","21,000","23,320"
"6531 Cleaners","1,990","20,600","23,060"
"65310 Light duty cleaners","1,335","17,800","21,340"
"65311 Specialized cleaners","130","20,200","22,800"
"65312 Janitors, caretakers and heavy-duty cleaners","525","29,400","27,500"
"6532 Service support and related occupations","200","26,200","25,800"
"65320 Dry cleaning, laundry and related occupations","105","35,600","31,200"
"65329 Other service support occupations","95","11,700","20,000"
"7 Trades, transport and equipment operators and related occupations","14,090","36,800","40,360"
"70 Middle management occupations in trades and transportation","770","43,200","54,100"
"700 Middle management occupations in trades and transportation","770","43,200","54,100"
"7001 Managers in construction and facility operation and maintenance","650","40,800","51,300"
"70010 Construction managers","175","65,500","76,500"
"70011 Home building and renovation managers","190","25,400","38,400"
"70012 Facility operation and maintenance managers","285","39,200","44,400"
"7002 Managers in transportation and postal and courier services","120","64,000","69,000"
"70020 Managers in transportation","110","62,800","69,000"
"70021 Postal and courier services managers","0","0","0"
"72 Technical trades and transportation officers and controllers","5,940","44,400","46,680"
"720 Technical trades contractors and supervisors","790","59,200","60,700"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","425","59,600","62,400"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","30","78,500","72,000"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","120","65,500","73,000"
"72012 Contractors and supervisors, pipefitting trades","35","67,000","64,000"
"72013 Contractors and supervisors, carpentry trades","90","58,000","57,000"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","145","56,800","54,000"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","365","58,800","58,600"
"72020 Contractors and supervisors, mechanic trades","65","64,500","54,000"
"72021 Contractors and supervisors, heavy equipment operator crews","210","55,200","58,800"
"72022 Supervisors, printing and related occupations","0","0","0"
"72023 Supervisors, railway transport operations","0","0","0"
"72024 Supervisors, motor transport and other ground transit operators","35","68,000","68,000"
"72025 Supervisors, mail and message distribution occupations","45","67,500","62,000"
"721 Technical industrial trades","675","40,400","44,400"
"7210 Machining, metal forming, shaping and erecting trades","675","40,400","44,400"
"72100 Machinists and machining and tooling inspectors","80","47,200","45,000"
"72101 Tool and die makers","0","0","0"
"72102 Sheet metal workers","55","34,000","37,000"
"72103 Boilermakers","0","0","0"
"72104 Structural metal and platework fabricators and fitters","15","0","60,000"
"72105 Ironworkers","20","0","100,000"
"72106 Welders and related machine operators","500","39,600","41,800"
"722 Technical electrical trades","745","48,000","50,100"
"7220 Technical electrical trades and electrical power line and telecommunications workers","745","48,000","50,100"
"72200 Electricians (except industrial and power system)","460","40,800","42,800"
"72201 Industrial electricians","50","54,800","56,000"
"72202 Power system electricians","0","0","0"
"72203 Electrical power line and cable workers","80","84,000","82,000"
"72204 Telecommunications line and cable installers and repairers","40","42,400","48,000"
"72205 Telecommunications equipment installation and cable television service technicians","100","56,000","54,000"
"723 Technical construction trades","1,825","36,400","36,120"
"7230 Plumbers, pipefitters and gas fitters","350","42,400","40,400"
"72300 Plumbers","295","42,800","40,400"
"72301 Steamfitters, pipefitters and sprinkler system installers","40","11,300","36,000"
"72302 Gas fitters","0","0","0"
"7231 Carpenters and cabinetmakers","1,390","35,200","34,480"
"72310 Carpenters","1,350","35,600","34,560"
"72311 Cabinetmakers","40","23,800","32,000"
"7232 Bricklayers and insulators","90","41,600","45,000"
"72320 Bricklayers","55","43,600","48,000"
"72321 Insulators","30","38,800","38,000"
"724 Technical maintenance trades","1,680","46,400","48,600"
"7240 Machinery and transportation equipment mechanics (except motor vehicles)","670","51,600","56,400"
"72400 Construction millwrights and industrial mechanics","135","60,400","61,000"
"72401 Heavy-duty equipment mechanics","225","51,600","52,800"
"72402 Heating, refrigeration and air conditioning mechanics","80","54,400","59,000"
"72403 Railway carmen/women","0","0","0"
"72404 Aircraft mechanics and aircraft inspectors","205","48,800","54,000"
"72405 Machine fitters","0","0","0"
"72406 Elevator constructors and mechanics","0","0","0"
"7241 Automotive service technicians","910","42,000","42,600"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","800","44,000","43,900"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","110","38,000","33,500"
"7242 Small engine and equipment mechanics and related repairers (including electrical components)","100","51,200","50,000"
"72420 Oil and solid fuel heating mechanics","30","0","52,000"
"72421 Appliance servicers and repairers","20","0","32,000"
"72422 Electrical mechanics","15","0","100,000"
"72423 Motorcycle, all-terrain vehicle and other related mechanics","0","0","0"
"72429 Other small engine and small equipment repairers","20","0","24,000"
"725 Technical equipment operation trades","70","59,600","60,000"
"7250 Crane operators and water well drillers","70","59,600","60,000"
"72500 Crane operators","65","59,600","60,000"
"72501 Water well drillers","0","0","0"
"726 Transportation officers and controllers","110","83,000","84,000"
"7260 Transportation officers and controllers","110","83,000","84,000"
"72600 Air pilots, flight engineers and flying instructors","20","0","90,000"
"72601 Air traffic controllers and related occupations","20","0","95,000"
"72602 Deck officers, water transport","45","49,600","66,000"
"72603 Engineer officers, water transport","20","0","120,000"
"72604 Railway traffic controllers and marine traffic regulators","0","0","0"
"729 Other technical trades","40","15,000","27,000"
"7299 Other technical trades","40","15,000","27,000"
"72999 Other technical trades and related occupations","40","15,000","27,000"
"73 General trades","3,915","34,000","37,520"
"731 General construction trades","515","25,400","28,300"
"7310 Concrete finishers, tilesetters and plasterers","150","24,600","27,200"
"73100 Concrete finishers","30","0","26,000"
"73101 Tilesetters","25","0","24,000"
"73102 Plasterers, drywall installers and finishers and lathers","95","26,600","28,400"
"7311 Roofers, glaziers, painters, decorators and floor covering installers","365","25,600","28,800"
"73110 Roofers and shinglers","110","25,600","26,000"
"73111 Glaziers","0","0","0"
"73112 Painters and decorators (except interior decorators)","190","25,800","33,600"
"73113 Floor covering installers","60","17,200","19,000"
"732 Building maintenance installers, servicers and repairers","890","27,200","31,000"
"7320 Building maintenance installers, servicers and repairers","890","27,200","31,000"
"73200 Residential and commercial installers and servicers","220","27,200","29,200"
"73201 General building maintenance workers and building superintendents","595","28,000","31,300"
"73202 Pest controllers and fumigators","30","0","40,000"
"73209 Other repairers and servicers","40","27,200","28,000"
"733 Transportation occupations","2,005","38,400","40,200"
"7330 Transport truck and transit drivers","2,005","38,400","40,200"
"73300 Transport truck drivers","1,650","42,400","42,200"
"73301 Bus drivers, subway operators and other transit operators","355","28,200","30,900"
"7331 Train crew operating occupations","0","0","0"
"73310 Railway and yard locomotive engineers","0","0","0"
"73311 Railway conductors and brakemen/women","0","0","0"
"734 Operators, drillers and blasters","500","48,400","48,000"
"7340 Operators, drillers and blasters","500","48,400","48,000"
"73400 Heavy equipment operators","470","48,000","46,200"
"73401 Printing press operators","15","0","50,000"
"73402 Drillers and blasters - surface mining, quarrying and construction","15","0","100,000"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","590","44,400","44,800"
"741 Mail and message distribution occupations","375","45,200","46,600"
"7410 Mail and message distribution occupations","375","45,200","46,600"
"74100 Mail and parcel sorters and related occupations","110","37,200","40,000"
"74101 Letter carriers","155","52,400","51,000"
"74102 Couriers and messengers","115","45,200","47,000"
"742 Transport equipment operators, utility maintenance and related workers","210","44,400","42,000"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","210","44,400","42,000"
"74200 Railway yard and track maintenance workers","0","0","0"
"74201 Water transport deck and engine room crew","55","60,000","62,000"
"74202 Air transport ramp attendants","20","0","17,000"
"74203 Automotive and heavy truck and equipment parts installers and servicers","40","44,400","38,000"
"74204 Utility maintenance workers","15","0","36,000"
"74205 Public works maintenance equipment operators and related workers","85","38,800","39,500"
"75 Helpers and labourers and other transport drivers, operators and labourers","2,885","23,000","26,640"
"751 Helpers and labourers","2,085","23,600","27,360"
"7510 Longshore workers and material handlers","645","30,200","33,800"
"75100 Longshore workers","25","0","34,000"
"75101 Material handlers","625","30,400","33,800"
"7511 Trades helpers and labourers","1,435","22,000","24,460"
"75110 Construction trades helpers and labourers","1,370","22,000","24,420"
"75119 Other trades helpers and labourers","60","22,000","26,000"
"752 Transport drivers, operators and labourers","800","18,800","24,800"
"7520 Taxi, personal service and delivery service drivers","530","17,600","24,600"
"75200 Taxi and limousine drivers and chauffeurs","145","9,500","16,400"
"75201 Delivery service drivers and door-to-door distributors","380","25,600","27,700"
"7521 Water and rail transport operators and labourers and related occupations","270","22,600","25,200"
"75210 Boat and cable ferry operators and related occupations","45","29,600","33,000"
"75211 Railway and motor transport labourers","0","0","0"
"75212 Public works and maintenance labourers","215","18,200","23,800"
"8 Natural resources, agriculture and related production occupations","6,780","20,000","27,280"
"80 Middle management occupations in production and agriculture","1,300","26,600","34,720"
"800 Middle management occupations in production and agriculture","1,300","26,600","34,720"
"8001 Managers in natural resources production and fishing","20","0","80,000"
"80010 Managers in natural resources production and fishing","20","0","80,000"
"8002 Managers in agriculture, horticulture and aquaculture","1,280","26,800","34,100"
"80020 Managers in agriculture","1,145","25,400","33,200"
"80021 Managers in horticulture","30","36,000","36,000"
"80022 Managers in aquaculture","100","49,200","44,000"
"82 Supervisors in natural resources, agriculture and related production","225","34,000","43,200"
"820 Supervisors in natural resources, agriculture and related production","225","34,000","43,200"
"8201 Supervisors, logging and forestry","25","0","68,000"
"82010 Supervisors, logging and forestry","25","0","68,000"
"8202 Contractors and supervisors, mining, oil and gas","40","33,200","72,000"
"82020 Supervisors, mining and quarrying","0","0","0"
"82021 Contractors and supervisors, oil and gas drilling and services","30","33,200","80,000"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","170","30,000","33,200"
"82030 Agricultural service contractors and farm supervisors","45","30,000","29,000"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","120","34,000","35,000"
"83 Occupations in natural resources and related production","1,330","21,400","28,640"
"831 Occupations in natural resources and fisheries","1,330","21,400","28,640"
"8310 Underground miners, oil and gas drillers and related occupations","0","0","0"
"83100 Underground production and development miners","0","0","0"
"83101 Oil and gas well drillers, servicers, testers and related workers","0","0","0"
"8311 Logging machinery operators","25","0","36,000"
"83110 Logging machinery operators","25","0","36,000"
"8312 Fishing vessel masters and fishermen/women","1,300","20,600","28,360"
"83120 Fishing masters and officers","55","28,600","40,000"
"83121 Fishermen/women","1,250","19,800","27,850"
"84 Workers in natural resources, agriculture and related production","1,930","20,000","25,200"
"841 Workers in natural resources and fisheries","1,930","20,000","25,200"
"8410 Mine service workers and operators in oil and gas drilling","0","0","0"
"84100 Underground mine service and support workers","0","0","0"
"84101 Oil and gas well drilling and related workers and services operators","0","0","0"
"8411 Logging and forestry workers","95","22,800","28,000"
"84110 Chain saw and skidder operators","40","15,500","35,000"
"84111 Silviculture and forestry workers","50","22,800","22,000"
"8412 Workers in agriculture and fishing occupations","1,830","19,600","24,980"
"84120 Specialized livestock workers and farm machinery operators","790","22,600","23,800"
"84121 Fishing vessel deckhands","1,040","19,000","25,900"
"85 Harvesting, landscaping and natural resources labourers","1,990","16,200","21,700"
"851 Harvesting, landscaping and natural resources labourers","1,990","16,200","21,700"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","1,175","17,200","22,120"
"85100 Livestock labourers","270","14,600","18,800"
"85101 Harvesting labourers","350","18,000","22,100"
"85102 Aquaculture and marine harvest labourers","450","20,600","24,300"
"85103 Nursery and greenhouse labourers","105","19,200","21,600"
"85104 Trappers and hunters","0","0","0"
"8511 Mine and oil and gas drilling, services and related labourers","15","0","70,000"
"85110 Mine labourers","0","0","0"
"85111 Oil and gas drilling, servicing and related labourers","15","0","70,000"
"8512 Logging, forestry, landscaping and other related labourers","800","15,800","19,800"
"85120 Logging and forestry labourers","15","0","32,000"
"85121 Landscaping and grounds maintenance labourers","785","15,700","19,560"
"9 Occupations in manufacturing and utilities","4,305","32,000","38,160"
"90 Middle management occupations in manufacturing and utilities","330","71,000","95,200"
"900 Middle management occupations in manufacturing and utilities","330","71,000","95,200"
"9001 Managers in manufacturing and utilities","330","71,000","95,200"
"90010 Manufacturing managers","305","69,500","79,000"
"90011 Utilities managers","35","111,000","260,000"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","515","55,200","59,800"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","245","51,200","53,200"
"9201 Supervisors, processing and manufacturing occupations","225","51,200","52,800"
"92010 Supervisors, mineral and metal processing","0","0","0"
"92011 Supervisors, petroleum, gas and chemical processing and utilities","50","72,500","56,000"
"92012 Supervisors, food and beverage processing","160","51,200","52,000"
"92013 Supervisors, plastic and rubber products manufacturing","0","0","0"
"92014 Supervisors, forest products processing","0","0","0"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","0","0","0"
"9202 Supervisors, assembly and fabrication","20","0","60,000"
"92020 Supervisors, motor vehicle assembling","0","0","0"
"92021 Supervisors, electronics and electrical products manufacturing","0","0","0"
"92022 Supervisors, furniture and fixtures manufacturing","0","0","0"
"92023 Supervisors, other mechanical and metal products manufacturing","15","0","60,000"
"92024 Supervisors, other products manufacturing and assembly","0","0","0"
"921 Utilities equipment operators and controllers","265","57,600","65,500"
"9210 Utilities equipment operators and controllers","265","57,600","65,500"
"92100 Power engineers and power systems operators","200","64,500","69,000"
"92101 Water and waste treatment plant operators","65","52,400","56,000"
"93 Central control and process operators and aircraft assembly assemblers and inspectors","90","51,600","55,000"
"931 Central control and process operators in processing and manufacturing","65","51,600","54,000"
"9310 Central control and process operators in processing and manufacturing","65","51,600","54,000"
"93100 Central control and process operators, mineral and metal processing","0","0","0"
"93101 Central control and process operators, petroleum, gas and chemical processing","60","51,200","54,000"
"93102 Pulping, papermaking and coating control operators","0","0","0"
"932 Aircraft assemblers and aircraft assembly inspectors","25","0","56,000"
"9320 Aircraft assemblers and aircraft assembly inspectors","25","0","56,000"
"93200 Aircraft assemblers and aircraft assembly inspectors","25","0","56,000"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","1,830","28,600","30,560"
"941 Processing and manufacturing machine operators and related production workers","1,595","26,800","29,640"
"9410 Machine operators and related workers in mineral and metal products processing and manufacturing","50","40,800","48,000"
"94100 Machine operators, mineral and metal processing","0","0","0"
"94101 Foundry workers","0","0","0"
"94102 Glass forming and finishing machine operators and glass cutters","0","0","0"
"94103 Concrete, clay and stone forming operators","0","0","0"
"94104 Inspectors and testers, mineral and metal processing","0","0","0"
"94105 Metalworking and forging machine operators","20","0","38,000"
"94106 Machining tool operators","0","0","0"
"94107 Machine operators of other metal products","0","0","0"
"9411 Machine operators and related workers in chemical, plastic and rubber processing","25","0","30,000"
"94110 Chemical plant machine operators","15","0","32,000"
"94111 Plastics processing machine operators","0","0","0"
"94112 Rubber processing machine operators and related workers","0","0","0"
"9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing","50","41,200","31,000"
"94120 Sawmill machine operators","15","0","20,000"
"94121 Pulp mill, papermaking and finishing machine operators","0","0","0"
"94122 Paper converting machine operators","20","0","38,000"
"94123 Lumber graders and other wood processing inspectors and graders","0","0","0"
"94124 Woodworking machine operators","0","0","0"
"94129 Other wood processing machine operators","0","0","0"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","40","17,200","17,000"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","0","0","0"
"94131 Weavers, knitters and other fabric making occupations","20","0","10,000"
"94132 Industrial sewing machine operators","0","0","0"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","0","0","0"
"9414 Machine operators and related workers in food, beverage and associated products processing","1,365","25,800","28,920"
"94140 Process control and machine operators, food and beverage processing","320","45,600","43,200"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","90","43,200","38,000"
"94142 Fish and seafood plant workers","535","21,800","23,200"
"94143 Testers and graders, food and beverage processing","415","16,600","23,400"
"9415 Printing equipment operators and related occupations","70","41,600","36,000"
"94150 Plateless printing equipment operators","0","0","0"
"94151 Camera, platemaking and other prepress occupations","0","0","0"
"94152 Binding and finishing machine operators","30","0","40,000"
"94153 Photographic and film processors","20","0","28,000"
"942 Assemblers and inspectors in manufacturing","235","33,200","36,400"
"9420 Mechanical, electrical and electronics assemblers and inspectors","95","40,400","45,000"
"94200 Motor vehicle assemblers, inspectors and testers","30","42,400","48,000"
"94201 Electronics assemblers, fabricators, inspectors and testers","20","0","45,000"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","0","0","0"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","0","0","0"
"94204 Mechanical assemblers and inspectors","45","40,400","46,000"
"94205 Machine operators and inspectors, electrical apparatus manufacturing","0","0","0"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","145","32,800","31,200"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","30","0","22,000"
"94211 Assemblers and inspectors of other wood products","20","0","40,000"
"94212 Plastic products assemblers, finishers and inspectors","0","0","0"
"94213 Industrial painters, coaters and metal finishing process operators","35","0","38,000"
"94219 Other products assemblers, finishers and inspectors","55","31,800","32,000"
"95 Labourers in processing, manufacturing and utilities","1,545","22,800","26,760"
"951 Labourers in processing, manufacturing and utilities","1,545","22,800","26,760"
"9510 Labourers in processing, manufacturing and utilities","1,545","22,800","26,760"
"95100 Labourers in mineral and metal processing","0","0","0"
"95101 Labourers in metal fabrication","20","0","14,000"
"95102 Labourers in chemical products processing and utilities","50","45,200","44,000"
"95103 Labourers in wood, pulp and paper processing","20","0","4,800"
"95104 Labourers in rubber and plastic products manufacturing","0","0","0"
"95105 Labourers in textile processing and cutting","15","0","24,000"
"95106 Labourers in food and beverage processing","570","33,200","33,600"
"95107 Labourers in fish and seafood processing","560","17,000","18,700"
"95109 Other labourers in processing, manufacturing and utilities","300","28,800","28,800"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i3,"Geography name: Prince Edward Island; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: P.E.I.; Dissemination Geography Unique Identifier (DGUID): 2021A000211; Alternative geographic code: 11; Province or territory geocode: 11; Long-form total non-response rate: 3.2; Data quality flag: 00000; Data quality note: ..."



Footnotes:
1,"The concept of work activity is derived based on responses to the number of weeks worked during the reference year and during those weeks worked in 2020, if the individual worked mostly full-time or part-time. The work activity concept uses the reference year January to December 2020, as does census income data.  As a result, when comparing to income data, there could be workers reporting a certain number of weeks worked in 2020 without any earnings reported for that year. There could also be workers who did not report any work activity (no weeks worked) in 2020 but did have earnings in that year. Although it is possible to have pre-payment or retroactive pay of employment income, it is uncertain if the extent of such arrangements is captured accurately in the long-form questionnaire. Moreover, some self-employed workers receive dividends instead of earnings and proxy reporting as well as respondents' inaccurate recall for the year 2020 could also be contributing factors to explain these inconsistencies."
2,"Visible minority  Visible minority refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese."
3,"Highest certificate, diploma or degree  Highest certificate, diploma or degree is the classification used in the census to measure the broader concept of 'Educational attainment.'  This variable refers to the highest level of education that a person has successfully completed and is derived from the educational qualifications questions, which asked for all certificates, diplomas and degrees to be reported.  The general hierarchy used in deriving this variable (high school, trades, college, university) is loosely tied to the 'in-class' duration of the various types of education. At the detailed level, someone who has completed one type of certificate, diploma or degree will not necessarily have completed the credentials listed below it in the hierarchy. For example, a person with an apprenticeship or trades certificate or diploma may not have completed a high school certificate or diploma, nor does an individual with a 'master's degree' necessarily have a 'university certificate or diploma above bachelor level.' Although the hierarchy may not fit all programs perfectly, it gives a general measure of educational attainment.  This variable is reported for persons aged 15 years and over in private households."
4,"Work activity during the reference year    'Work activity during the reference year' refers to whether or not a person 15 years or over worked during the reference year. For those who did work, this refers to the number of weeks in which the person worked for pay or in self-employment during the reference year at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
5,"Age  Age refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date).  Gender  Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman).  Gender includes the following concepts:  gender identity, which refers to the gender that a person feels internally and individually;  gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender.  A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time.  Some people may not identify with a specific gender.  Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol."
6,""Visible minority" refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese.   In 2021 Census analytical and communications products, the term "visible minority" has been replaced by the terms "racialized population" or "racialized groups", reflecting the increased use of these terms in the public sphere."
7,"For more information on visible minority and population group variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2021."
8,"For information on data quality for this variable, refer to the Education Reference Guide, Census of Population, 2021, Catalogue no. 98-500-X2021013."
9,"Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2020 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
11,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
12,"The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative)."
13,"Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes are calculated for those with income (positive or negative)."
10,"Occupation (based on the National Occupational Classification [NOC] 2021 Version 1.0)  Occupation refers to the kind of work performed in a job, a job being all the tasks carried out by a particular worker to complete his or her duties. An occupation is a set of jobs that are sufficiently similar in work performed.  Kind of work is described in terms of tasks, duties and responsibilities, often including factors such as materials processed or used, the industrial processes used, the equipment used, and the products or services provided. Occupations are generally homogeneous with respect to skill type and skill level.  Occupation applies to the contribution of labour to that part of economic activity that is within the production boundary defined for the System of National Accounts."
14,"Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the National Occupational Classification [NOC] 2021 version 1.0.  Occupation codes are based on write-in descriptions of the respondents’ job title and main duties/responsibilities. Incomplete or vague write-in responses can reduce the accuracy of the codes assigned, particularly for the most detailed levels of the occupation classification. For example, when ‘sales’ is provided as a description of main duties or responsibilities, any one of the codes corresponding to sales associate, sales supervisor or sales manager could be assigned.  The potential for inaccuracy in occupation codes is elevated for smaller domains, when increased sampling variability also impacts the accuracy of estimates. In such situations, users are advised to consider using broader occupation categories."
15,"Census 2021 National Occupational Classification (NOC) code exception: The code and title of this category are not found in the NOC 2021; this category includes codes 00011-00015."



"How to cite: Statistics Canada. Table 98-10-0586-01  Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810058601
