"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Yukon i12",,
"6441 Security guards and related security service occupations","115","61,600","50,000"
"64410 Security guards and related security service occupations","115","61,600","50,000"
"65 Sales and service support occupations","1,875","21,600","30,080"
"651 Sales support occupations","605","16,000","25,300"
"6510 Cashiers and other sales support occupations","605","16,000","25,300"
"65100 Cashiers","330","11,800","22,200"
"65101 Service station attendants","25","13,700","22,000"
"65102 Store shelf stockers, clerks and order fillers","235","25,400","29,400"
"65109 Other sales related occupations","15","0","36,000"
"652 Support occupations in food, accommodation and tourism","685","18,800","25,240"
"6520 Food support occupations","580","19,400","25,700"
"65200 Food and beverage servers","105","12,700","13,800"
"65201 Food counter attendants, kitchen helpers and related support occupations","470","21,200","27,800"
"65202 Meat cutters and fishmongers - retail and wholesale","0","0","0"
"6521 Support occupations in accommodation, travel, tourism and amusement services","65","10,900","15,600"
"65210 Support occupations in accommodation, travel and facilities set-up services","0","0","0"
"65211 Operators and attendants in amusement, recreation and sport","65","10,900","15,600"
"6522 Support occupations in personal services","35","45,600","38,000"
"65220 Pet groomers and animal care workers","30","0","28,000"
"65229 Other support occupations in personal services","0","0","0"
"653 Support occupations in cleaning and related services","590","33,600","40,600"
"6531 Cleaners","555","34,800","42,200"
"65310 Light duty cleaners","245","35,200","37,600"
"65311 Specialized cleaners","45","22,000","31,000"
"65312 Janitors, caretakers and heavy-duty cleaners","260","44,800","48,400"
"6532 Service support and related occupations","30","8,900","15,000"
"65320 Dry cleaning, laundry and related occupations","0","0","0"
"65329 Other service support occupations","30","0","15,000"
"7 Trades, transport and equipment operators and related occupations","4,165","58,400","61,650"
"70 Middle management occupations in trades and transportation","315","74,000","79,000"
"700 Middle management occupations in trades and transportation","315","74,000","79,000"
"7001 Managers in construction and facility operation and maintenance","270","71,000","77,500"
"70010 Construction managers","120","87,000","98,000"
"70011 Home building and renovation managers","75","28,800","50,000"
"70012 Facility operation and maintenance managers","70","69,000","70,000"
"7002 Managers in transportation and postal and courier services","50","90,000","88,000"
"70020 Managers in transportation","50","90,000","88,000"
"70021 Postal and courier services managers","0","0","0"
"72 Technical trades and transportation officers and controllers","1,835","65,000","68,500"
"720 Technical trades contractors and supervisors","295","81,000","75,500"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","150","81,000","80,000"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","15","0","120,000"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","30","0","90,000"
"72012 Contractors and supervisors, pipefitting trades","0","0","0"
"72013 Contractors and supervisors, carpentry trades","45","68,500","70,000"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","50","63,200","72,000"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","150","78,500","71,000"
"72020 Contractors and supervisors, mechanic trades","40","68,500","64,000"
"72021 Contractors and supervisors, heavy equipment operator crews","85","91,000","75,000"
"72022 Supervisors, printing and related occupations","0","0","0"
"72023 Supervisors, railway transport operations","0","0","0"
"72024 Supervisors, motor transport and other ground transit operators","0","0","0"
"72025 Supervisors, mail and message distribution occupations","15","0","60,000"
"721 Technical industrial trades","80","69,000","68,000"
"7210 Machining, metal forming, shaping and erecting trades","80","69,000","68,000"
"72100 Machinists and machining and tooling inspectors","0","0","0"
"72101 Tool and die makers","0","0","0"
"72102 Sheet metal workers","25","0","68,000"
"72103 Boilermakers","0","0","0"
"72104 Structural metal and platework fabricators and fitters","0","0","0"
"72105 Ironworkers","0","0","0"
"72106 Welders and related machine operators","40","63,200","72,000"
"722 Technical electrical trades","225","70,500","79,000"
"7220 Technical electrical trades and electrical power line and telecommunications workers","225","70,500","79,000"
"72200 Electricians (except industrial and power system)","155","58,400","60,000"
"72201 Industrial electricians","0","0","0"
"72202 Power system electricians","10","0","180,000"
"72203 Electrical power line and cable workers","25","174,000","150,000"
"72204 Telecommunications line and cable installers and repairers","20","0","76,000"
"72205 Telecommunications equipment installation and cable television service technicians","15","0","100,000"
"723 Technical construction trades","605","46,000","51,000"
"7230 Plumbers, pipefitters and gas fitters","100","39,600","50,000"
"72300 Plumbers","95","39,600","50,000"
"72301 Steamfitters, pipefitters and sprinkler system installers","0","0","0"
"72302 Gas fitters","0","0","0"
"7231 Carpenters and cabinetmakers","485","46,400","51,200"
"72310 Carpenters","465","46,400","51,200"
"72311 Cabinetmakers","15","0","50,000"
"7232 Bricklayers and insulators","25","0","52,000"
"72320 Bricklayers","0","0","0"
"72321 Insulators","20","0","60,000"
"724 Technical maintenance trades","475","78,000","77,600"
"7240 Machinery and transportation equipment mechanics (except motor vehicles)","205","86,000","89,000"
"72400 Construction millwrights and industrial mechanics","20","0","80,000"
"72401 Heavy-duty equipment mechanics","145","93,000","94,000"
"72402 Heating, refrigeration and air conditioning mechanics","0","0","0"
"72403 Railway carmen/women","0","0","0"
"72404 Aircraft mechanics and aircraft inspectors","40","85,000","80,000"
"72405 Machine fitters","0","0","0"
"72406 Elevator constructors and mechanics","0","0","0"
"7241 Automotive service technicians","230","68,000","66,500"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","195","67,500","66,000"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","40","74,500","68,000"
"7242 Small engine and equipment mechanics and related repairers (including electrical components)","45","83,000","84,000"
"72420 Oil and solid fuel heating mechanics","20","0","76,000"
"72421 Appliance servicers and repairers","0","0","0"
"72422 Electrical mechanics","0","0","0"
"72423 Motorcycle, all-terrain vehicle and other related mechanics","0","0","0"
"72429 Other small engine and small equipment repairers","0","0","0"
"725 Technical equipment operation trades","0","0","0"
"7250 Crane operators and water well drillers","0","0","0"
"72500 Crane operators","0","0","0"
"72501 Water well drillers","0","0","0"
"726 Transportation officers and controllers","130","88,000","88,000"
"7260 Transportation officers and controllers","130","88,000","88,000"
"72600 Air pilots, flight engineers and flying instructors","100","72,500","84,000"
"72601 Air traffic controllers and related occupations","25","116,000","100,000"
"72602 Deck officers, water transport","0","0","0"
"72603 Engineer officers, water transport","0","0","0"
"72604 Railway traffic controllers and marine traffic regulators","0","0","0"
"729 Other technical trades","0","0","0"
"7299 Other technical trades","0","0","0"
"72999 Other technical trades and related occupations","0","0","0"
"73 General trades","1,210","59,600","58,500"
"731 General construction trades","120","41,600","50,000"
"7310 Concrete finishers, tilesetters and plasterers","25","0","56,000"
"73100 Concrete finishers","0","0","0"
"73101 Tilesetters","0","0","0"
"73102 Plasterers, drywall installers and finishers and lathers","20","0","45,000"
"7311 Roofers, glaziers, painters, decorators and floor covering installers","90","40,400","48,000"
"73110 Roofers and shinglers","0","0","0"
"73111 Glaziers","0","0","0"
"73112 Painters and decorators (except interior decorators)","55","39,600","44,000"
"73113 Floor covering installers","15","0","70,000"
"732 Building maintenance installers, servicers and repairers","300","42,000","48,800"
"7320 Building maintenance installers, servicers and repairers","300","42,000","48,800"
"73200 Residential and commercial installers and servicers","35","20,800","38,000"
"73201 General building maintenance workers and building superintendents","230","44,400","51,600"
"73202 Pest controllers and fumigators","0","0","0"
"73209 Other repairers and servicers","35","46,800","44,000"
"733 Transportation occupations","405","50,800","54,800"
"7330 Transport truck and transit drivers","405","50,000","53,600"
"73300 Transport truck drivers","320","51,600","55,800"
"73301 Bus drivers, subway operators and other transit operators","85","40,800","45,000"
"7331 Train crew operating occupations","0","0","0"
"73310 Railway and yard locomotive engineers","0","0","0"
"73311 Railway conductors and brakemen/women","0","0","0"
"734 Operators, drillers and blasters","385","75,500","72,800"
"7340 Operators, drillers and blasters","385","75,500","72,800"
"73400 Heavy equipment operators","370","78,000","73,200"
"73401 Printing press operators","0","0","0"
"73402 Drillers and blasters - surface mining, quarrying and construction","0","0","0"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","190","57,600","56,800"
"741 Mail and message distribution occupations","85","60,800","53,000"
"7410 Mail and message distribution occupations","85","60,800","53,000"
"74100 Mail and parcel sorters and related occupations","25","0","48,000"
"74101 Letter carriers","45","60,800","56,000"
"74102 Couriers and messengers","20","0","50,000"
"742 Transport equipment operators, utility maintenance and related workers","110","57,600","60,000"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","110","57,600","60,000"
"74200 Railway yard and track maintenance workers","0","0","0"
"74201 Water transport deck and engine room crew","0","0","0"
"74202 Air transport ramp attendants","15","0","50,000"
"74203 Automotive and heavy truck and equipment parts installers and servicers","70","64,000","60,000"
"74204 Utility maintenance workers","0","0","0"
"74205 Public works maintenance equipment operators and related workers","10","0","50,000"
"75 Helpers and labourers and other transport drivers, operators and labourers","610","34,000","39,600"
"751 Helpers and labourers","405","34,400","38,400"
"7510 Longshore workers and material handlers","100","36,400","36,000"
"75100 Longshore workers","0","0","0"
"75101 Material handlers","100","36,400","36,000"
"7511 Trades helpers and labourers","305","34,000","39,200"
"75110 Construction trades helpers and labourers","300","34,400","39,200"
"75119 Other trades helpers and labourers","10","0","36,000"
"752 Transport drivers, operators and labourers","200","32,800","42,400"
"7520 Taxi, personal service and delivery service drivers","120","32,000","38,500"
"75200 Taxi and limousine drivers and chauffeurs","50","26,600","33,000"
"75201 Delivery service drivers and door-to-door distributors","70","34,800","44,000"
"7521 Water and rail transport operators and labourers and related occupations","85","38,800","47,000"
"75210 Boat and cable ferry operators and related occupations","0","0","0"
"75211 Railway and motor transport labourers","0","0","0"
"75212 Public works and maintenance labourers","70","38,400","44,000"
"8 Natural resources, agriculture and related production occupations","705","29,400","52,700"
"80 Middle management occupations in production and agriculture","170","50,800","82,000"
"800 Middle management occupations in production and agriculture","170","50,800","82,000"
"8001 Managers in natural resources production and fishing","50","174,000","185,000"
"80010 Managers in natural resources production and fishing","50","174,000","185,000"
"8002 Managers in agriculture, horticulture and aquaculture","115","22,600","39,500"
"80020 Managers in agriculture","105","27,600","42,000"
"80021 Managers in horticulture","0","0","0"
"80022 Managers in aquaculture","0","0","0"
"82 Supervisors in natural resources, agriculture and related production","60","71,000","108,000"
"820 Supervisors in natural resources, agriculture and related production","60","71,000","108,000"
"8201 Supervisors, logging and forestry","20","0","180,000"
"82010 Supervisors, logging and forestry","20","0","180,000"
"8202 Contractors and supervisors, mining, oil and gas","15","0","140,000"
"82020 Supervisors, mining and quarrying","10","0","80,000"
"82021 Contractors and supervisors, oil and gas drilling and services","0","0","0"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","25","42,000","52,000"
"82030 Agricultural service contractors and farm supervisors","0","0","0"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","25","56,000","52,000"
"83 Occupations in natural resources and related production","70","48,000","72,000"
"831 Occupations in natural resources and fisheries","70","48,000","72,000"
"8310 Underground miners, oil and gas drillers and related occupations","65","56,000","76,000"
"83100 Underground production and development miners","65","56,000","76,000"
"83101 Oil and gas well drillers, servicers, testers and related workers","0","0","0"
"8311 Logging machinery operators","0","0","0"
"83110 Logging machinery operators","0","0","0"
"8312 Fishing vessel masters and fishermen/women","0","0","0"
"83120 Fishing masters and officers","0","0","0"
"83121 Fishermen/women","0","0","0"
"84 Workers in natural resources, agriculture and related production","125","28,000","37,000"
"841 Workers in natural resources and fisheries","125","28,000","37,000"
"8410 Mine service workers and operators in oil and gas drilling","20","0","40,000"
"84100 Underground mine service and support workers","20","0","40,000"
"84101 Oil and gas well drilling and related workers and services operators","0","0","0"
"8411 Logging and forestry workers","65","27,000","30,000"
"84110 Chain saw and skidder operators","20","9,500","14,000"
"84111 Silviculture and forestry workers","40","40,400","38,000"
"8412 Workers in agriculture and fishing occupations","40","0","48,000"
"84120 Specialized livestock workers and farm machinery operators","40","0","48,000"
"84121 Fishing vessel deckhands","0","0","0"
"85 Harvesting, landscaping and natural resources labourers","285","15,300","26,000"
"851 Harvesting, landscaping and natural resources labourers","285","15,300","26,000"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","50","11,700","19,500"
"85100 Livestock labourers","0","0","0"
"85101 Harvesting labourers","15","0","14,000"
"85102 Aquaculture and marine harvest labourers","0","0","0"
"85103 Nursery and greenhouse labourers","15","0","32,000"
"85104 Trappers and hunters","0","0","0"
"8511 Mine and oil and gas drilling, services and related labourers","65","39,200","44,000"
"85110 Mine labourers","65","39,200","44,000"
"85111 Oil and gas drilling, servicing and related labourers","0","0","0"
"8512 Logging, forestry, landscaping and other related labourers","175","11,700","21,400"
"85120 Logging and forestry labourers","0","0","0"
"85121 Landscaping and grounds maintenance labourers","170","11,700","21,600"
"9 Occupations in manufacturing and utilities","400","46,400","54,000"
"90 Middle management occupations in manufacturing and utilities","30","0","76,000"
"900 Middle management occupations in manufacturing and utilities","30","0","76,000"
"9001 Managers in manufacturing and utilities","30","0","76,000"
"90010 Manufacturing managers","0","0","0"
"90011 Utilities managers","20","0","100,000"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","135","72,000","77,000"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","15","0","80,000"
"9201 Supervisors, processing and manufacturing occupations","15","0","80,000"
"92010 Supervisors, mineral and metal processing","0","0","0"
"92011 Supervisors, petroleum, gas and chemical processing and utilities","0","0","0"
"92012 Supervisors, food and beverage processing","0","0","0"
"92013 Supervisors, plastic and rubber products manufacturing","0","0","0"
"92014 Supervisors, forest products processing","10","0","60,000"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","0","0","0"
"9202 Supervisors, assembly and fabrication","0","0","0"
"92020 Supervisors, motor vehicle assembling","0","0","0"
"92021 Supervisors, electronics and electrical products manufacturing","0","0","0"
"92022 Supervisors, furniture and fixtures manufacturing","0","0","0"
"92023 Supervisors, other mechanical and metal products manufacturing","0","0","0"
"92024 Supervisors, other products manufacturing and assembly","0","0","0"
"921 Utilities equipment operators and controllers","115","72,000","77,000"
"9210 Utilities equipment operators and controllers","115","72,000","77,000"
"92100 Power engineers and power systems operators","60","88,000","80,000"
"92101 Water and waste treatment plant operators","55","67,500","74,000"
"93 Central control and process operators and aircraft assembly assemblers and inspectors","10","0","80,000"
"931 Central control and process operators in processing and manufacturing","10","0","80,000"
"9310 Central control and process operators in processing and manufacturing","10","0","80,000"
"93100 Central control and process operators, mineral and metal processing","0","0","0"
"93101 Central control and process operators, petroleum, gas and chemical processing","10","0","80,000"
"93102 Pulping, papermaking and coating control operators","0","0","0"
"932 Aircraft assemblers and aircraft assembly inspectors","0","0","0"
"9320 Aircraft assemblers and aircraft assembly inspectors","0","0","0"
"93200 Aircraft assemblers and aircraft assembly inspectors","0","0","0"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","130","36,400","41,000"
"941 Processing and manufacturing machine operators and related production workers","75","41,200","44,000"
"9410 Machine operators and related workers in mineral and metal products processing and manufacturing","20","0","68,000"
"94100 Machine operators, mineral and metal processing","10","0","80,000"
"94101 Foundry workers","0","0","0"
"94102 Glass forming and finishing machine operators and glass cutters","0","0","0"
"94103 Concrete, clay and stone forming operators","0","0","0"
"94104 Inspectors and testers, mineral and metal processing","0","0","0"
"94105 Metalworking and forging machine operators","0","0","0"
"94106 Machining tool operators","0","0","0"
"94107 Machine operators of other metal products","0","0","0"
"9411 Machine operators and related workers in chemical, plastic and rubber processing","0","0","0"
"94110 Chemical plant machine operators","0","0","0"
"94111 Plastics processing machine operators","0","0","0"
"94112 Rubber processing machine operators and related workers","0","0","0"
"9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing","0","0","0"
"94120 Sawmill machine operators","0","0","0"
"94121 Pulp mill, papermaking and finishing machine operators","0","0","0"
"94122 Paper converting machine operators","0","0","0"
"94123 Lumber graders and other wood processing inspectors and graders","0","0","0"
"94124 Woodworking machine operators","0","0","0"
"94129 Other wood processing machine operators","0","0","0"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","0","0","0"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","0","0","0"
"94131 Weavers, knitters and other fabric making occupations","0","0","0"
"94132 Industrial sewing machine operators","0","0","0"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","0","0","0"
"9414 Machine operators and related workers in food, beverage and associated products processing","40","41,600","40,000"
"94140 Process control and machine operators, food and beverage processing","25","0","48,000"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","0","0","0"
"94142 Fish and seafood plant workers","0","0","0"
"94143 Testers and graders, food and beverage processing","0","0","0"
"9415 Printing equipment operators and related occupations","0","0","0"
"94150 Plateless printing equipment operators","0","0","0"
"94151 Camera, platemaking and other prepress occupations","0","0","0"
"94152 Binding and finishing machine operators","0","0","0"
"94153 Photographic and film processors","0","0","0"
"942 Assemblers and inspectors in manufacturing","50","32,800","37,000"
"9420 Mechanical, electrical and electronics assemblers and inspectors","0","0","0"
"94200 Motor vehicle assemblers, inspectors and testers","0","0","0"
"94201 Electronics assemblers, fabricators, inspectors and testers","0","0","0"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","0","0","0"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","0","0","0"
"94204 Mechanical assemblers and inspectors","0","0","0"
"94205 Machine operators and inspectors, electrical apparatus manufacturing","0","0","0"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","45","33,200","40,000"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","0","0","0"
"94211 Assemblers and inspectors of other wood products","0","0","0"
"94212 Plastic products assemblers, finishers and inspectors","0","0","0"
"94213 Industrial painters, coaters and metal finishing process operators","0","0","0"
"94219 Other products assemblers, finishers and inspectors","30","0","44,000"
"95 Labourers in processing, manufacturing and utilities","100","32,000","31,600"
"951 Labourers in processing, manufacturing and utilities","100","32,000","31,600"
"9510 Labourers in processing, manufacturing and utilities","100","32,000","31,600"
"95100 Labourers in mineral and metal processing","0","0","0"
"95101 Labourers in metal fabrication","0","0","0"
"95102 Labourers in chemical products processing and utilities","0","0","0"
"95103 Labourers in wood, pulp and paper processing","10","0","30,000"
"95104 Labourers in rubber and plastic products manufacturing","0","0","0"
"95105 Labourers in textile processing and cutting","0","0","0"
"95106 Labourers in food and beverage processing","0","0","0"
"95107 Labourers in fish and seafood processing","0","0","0"
"95109 Other labourers in processing, manufacturing and utilities","45","26,000","31,000"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i12,"Geography name: Yukon; Geographic area type: Territory; Geographic area type abbreviation: TERR; Geographic level: Province or territory; Province or territory abbreviation: Y.T.; Dissemination Geography Unique Identifier (DGUID): 2021A000260; Alternative geographic code: 60; Province or territory geocode: 60; Long-form total non-response rate: 10.5; Data quality flag: 00010; Data quality note: ..."



Footnotes:
1,"The concept of work activity is derived based on responses to the number of weeks worked during the reference year and during those weeks worked in 2020, if the individual worked mostly full-time or part-time. The work activity concept uses the reference year January to December 2020, as does census income data.  As a result, when comparing to income data, there could be workers reporting a certain number of weeks worked in 2020 without any earnings reported for that year. There could also be workers who did not report any work activity (no weeks worked) in 2020 but did have earnings in that year. Although it is possible to have pre-payment or retroactive pay of employment income, it is uncertain if the extent of such arrangements is captured accurately in the long-form questionnaire. Moreover, some self-employed workers receive dividends instead of earnings and proxy reporting as well as respondents' inaccurate recall for the year 2020 could also be contributing factors to explain these inconsistencies."
2,"Visible minority  Visible minority refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese."
3,"Highest certificate, diploma or degree  Highest certificate, diploma or degree is the classification used in the census to measure the broader concept of 'Educational attainment.'  This variable refers to the highest level of education that a person has successfully completed and is derived from the educational qualifications questions, which asked for all certificates, diplomas and degrees to be reported.  The general hierarchy used in deriving this variable (high school, trades, college, university) is loosely tied to the 'in-class' duration of the various types of education. At the detailed level, someone who has completed one type of certificate, diploma or degree will not necessarily have completed the credentials listed below it in the hierarchy. For example, a person with an apprenticeship or trades certificate or diploma may not have completed a high school certificate or diploma, nor does an individual with a 'master's degree' necessarily have a 'university certificate or diploma above bachelor level.' Although the hierarchy may not fit all programs perfectly, it gives a general measure of educational attainment.  This variable is reported for persons aged 15 years and over in private households."
4,"Work activity during the reference year    'Work activity during the reference year' refers to whether or not a person 15 years or over worked during the reference year. For those who did work, this refers to the number of weeks in which the person worked for pay or in self-employment during the reference year at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
5,"Age  Age refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date).  Gender  Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman).  Gender includes the following concepts:  gender identity, which refers to the gender that a person feels internally and individually;  gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender.  A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time.  Some people may not identify with a specific gender.  Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol."
6,""Visible minority" refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese.   In 2021 Census analytical and communications products, the term "visible minority" has been replaced by the terms "racialized population" or "racialized groups", reflecting the increased use of these terms in the public sphere."
7,"For more information on visible minority and population group variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2021."
8,"For information on data quality for this variable, refer to the Education Reference Guide, Census of Population, 2021, Catalogue no. 98-500-X2021013."
9,"Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2020 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
11,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
12,"The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative)."
13,"Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes are calculated for those with income (positive or negative)."
10,"Occupation (based on the National Occupational Classification [NOC] 2021 Version 1.0)  Occupation refers to the kind of work performed in a job, a job being all the tasks carried out by a particular worker to complete his or her duties. An occupation is a set of jobs that are sufficiently similar in work performed.  Kind of work is described in terms of tasks, duties and responsibilities, often including factors such as materials processed or used, the industrial processes used, the equipment used, and the products or services provided. Occupations are generally homogeneous with respect to skill type and skill level.  Occupation applies to the contribution of labour to that part of economic activity that is within the production boundary defined for the System of National Accounts."
14,"Refers to the kind of work performed by persons aged 15 years and over as determined by their kind of work and the description of the main activities in their job. The occupation data are produced according to the National Occupational Classification [NOC] 2021 version 1.0.  Occupation codes are based on write-in descriptions of the respondents’ job title and main duties/responsibilities. Incomplete or vague write-in responses can reduce the accuracy of the codes assigned, particularly for the most detailed levels of the occupation classification. For example, when ‘sales’ is provided as a description of main duties or responsibilities, any one of the codes corresponding to sales associate, sales supervisor or sales manager could be assigned.  The potential for inaccuracy in occupation codes is elevated for smaller domains, when increased sampling variability also impacts the accuracy of estimates. In such situations, users are advised to consider using broader occupation categories."
15,"Census 2021 National Occupational Classification (NOC) code exception: The code and title of this category are not found in the NOC 2021; this category includes codes 00011-00015."



"How to cite: Statistics Canada. Table 98-10-0586-01  Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=9810058601
