"Employment income statistics by occupation unit group, visible minority, highest level of education, work activity during the reference year, age and gender: Canada, provinces and territories 1"
"Frequency: Occasional"
"Table: 98-10-0586-01"
"Release date: 2023-05-10"
"Geography: Canada, Province or territory"
"Universe: Population aged 15 years and over with weeks worked in 2020 and employment income in 2020, in private households, 2021 Census — 25% Sample data"
"Variable List: Occupation - Unit group - National Occupational Classification (NOC) 2021 (819), Statistics (3), Visible minority (15), Highest certificate, diploma or degree (7), Work activity during the reference year (4), Gender and age (7), Employment income statistics (3)"

"Geography","Nova Scotia i4",,
"63200 Cooks","5,465","16,800","20,740"
"63201 Butchers - retail and wholesale","135","26,800","35,000"
"63202 Bakers","1,430","17,800","21,180"
"6321 Hairstylists and estheticians","3,710","12,600","16,120"
"63210 Hairstylists and barbers","2,570","11,900","15,140"
"63211 Estheticians, electrologists and related occupations","1,140","14,200","18,360"
"6322 Shoe repairers, shoemakers and upholsterers","55","18,200","24,000"
"63220 Shoe repairers and shoemakers","20","0","20,000"
"63221 Upholsterers","35","18,600","26,000"
"64 Sales and service representatives and other customer and personal services occupations","34,050","21,800","28,000"
"641 Retail salespersons and non-technical wholesale trade sales and account representatives","18,205","18,200","27,880"
"6410 Retail salespersons and non-technical wholesale trade sales and account representatives","18,205","18,200","27,880"
"64100 Retail salespersons and visual merchandisers","16,905","17,000","25,180"
"64101 Sales and account representatives - wholesale trade (non-technical)","1,300","53,600","63,250"
"642 Occupations in personal service","225","6,240","12,500"
"6420 Occupations in personal service","225","6,240","12,500"
"64200 Tailors, dressmakers, furriers and milliners","200","9,400","13,900"
"64201 Image, social and other personal consultants","25","0","900"
"643 Occupations in food, accommodation and tourism","3,150","13,900","20,160"
"6430 Occupations in food and beverage service","1,395","9,100","12,640"
"64300 Maîtres d'hôtel and hosts/hostesses","375","5,520","8,760"
"64301 Bartenders","1,020","11,700","14,080"
"6431 Occupations in travel and accommodation","1,580","22,400","27,800"
"64310 Travel counsellors","435","19,600","23,700"
"64311 Pursers and flight attendants","245","51,200","45,600"
"64312 Airline ticket and service agents","285","34,000","38,000"
"64313 Ground and water transport ticket agents, cargo service representatives and related clerks","45","41,600","37,000"
"64314 Hotel front desk clerks","570","15,900","17,500"
"6432 Tourism and amusement services occupations","180","8,100","11,300"
"64320 Tour and travel guides","95","7,250","11,200"
"64321 Casino workers","55","12,000","12,000"
"64322 Outdoor sport and recreational guides","25","0","10,000"
"644 Occupations in customer, information and protective services","12,470","29,000","30,480"
"6440 Customer and information services representatives","9,125","29,400","30,760"
"64400 Customer services representatives - financial institutions","1,590","32,000","32,960"
"64401 Postal services representatives","125","30,400","30,800"
"64409 Other customer and information services representatives","7,410","28,800","30,280"
"6441 Security guards and related security service occupations","3,345","27,400","29,680"
"64410 Security guards and related security service occupations","3,345","27,400","29,680"
"65 Sales and service support occupations","47,015","12,600","17,400"
"651 Sales support occupations","18,390","11,900","16,260"
"6510 Cashiers and other sales support occupations","18,390","11,900","16,260"
"65100 Cashiers","11,520","10,400","14,480"
"65101 Service station attendants","230","13,200","17,400"
"65102 Store shelf stockers, clerks and order fillers","5,855","15,700","19,360"
"65109 Other sales related occupations","785","10,700","18,800"
"652 Support occupations in food, accommodation and tourism","16,430","10,500","14,520"
"6520 Food support occupations","14,615","10,600","14,340"
"65200 Food and beverage servers","3,305","9,700","12,470"
"65201 Food counter attendants, kitchen helpers and related support occupations","11,015","10,700","14,520"
"65202 Meat cutters and fishmongers - retail and wholesale","290","29,000","28,600"
"6521 Support occupations in accommodation, travel, tourism and amusement services","1,070","8,600","15,360"
"65210 Support occupations in accommodation, travel and facilities set-up services","55","7,350","12,000"
"65211 Operators and attendants in amusement, recreation and sport","1,015","8,600","15,560"
"6522 Support occupations in personal services","750","10,600","16,960"
"65220 Pet groomers and animal care workers","705","12,000","17,800"
"65229 Other support occupations in personal services","45","2,600","4,400"
"653 Support occupations in cleaning and related services","12,195","20,800","23,000"
"6531 Cleaners","10,985","20,600","22,920"
"65310 Light duty cleaners","7,110","17,600","20,540"
"65311 Specialized cleaners","865","20,800","23,320"
"65312 Janitors, caretakers and heavy-duty cleaners","3,015","27,800","28,360"
"6532 Service support and related occupations","1,205","21,200","23,800"
"65320 Dry cleaning, laundry and related occupations","595","28,400","27,100"
"65329 Other service support occupations","610","15,300","20,600"
"7 Trades, transport and equipment operators and related occupations","79,760","41,200","45,800"
"70 Middle management occupations in trades and transportation","5,290","62,800","67,300"
"700 Middle management occupations in trades and transportation","5,290","62,800","67,300"
"7001 Managers in construction and facility operation and maintenance","4,360","60,800","65,400"
"70010 Construction managers","1,955","73,500","75,600"
"70011 Home building and renovation managers","650","24,600","33,500"
"70012 Facility operation and maintenance managers","1,750","59,600","65,900"
"7002 Managers in transportation and postal and courier services","935","70,500","75,800"
"70020 Managers in transportation","825","69,500","76,200"
"70021 Postal and courier services managers","115","73,000","73,000"
"72 Technical trades and transportation officers and controllers","34,325","48,800","52,750"
"720 Technical trades contractors and supervisors","4,885","57,600","63,200"
"7201 Contractors and supervisors, technical industrial, electrical and construction trades and related workers","2,555","55,200","62,100"
"72010 Contractors and supervisors, machining, metal forming, shaping and erecting trades and related occupations","350","66,500","71,600"
"72011 Contractors and supervisors, electrical trades and telecommunications occupations","525","62,800","70,000"
"72012 Contractors and supervisors, pipefitting trades","225","73,500","80,000"
"72013 Contractors and supervisors, carpentry trades","565","44,000","45,400"
"72014 Contractors and supervisors, other construction trades, installers, repairers and servicers","895","48,400","59,700"
"7202 Contractors and supervisors, technical maintenance trades and heavy equipment and transport operators","2,330","61,200","64,400"
"72020 Contractors and supervisors, mechanic trades","570","66,500","69,600"
"72021 Contractors and supervisors, heavy equipment operator crews","1,100","66,000","68,800"
"72022 Supervisors, printing and related occupations","30","70,000","68,000"
"72023 Supervisors, railway transport operations","0","0","0"
"72024 Supervisors, motor transport and other ground transit operators","255","56,000","56,000"
"72025 Supervisors, mail and message distribution occupations","355","50,000","47,600"
"721 Technical industrial trades","3,870","51,600","50,600"
"7210 Machining, metal forming, shaping and erecting trades","3,870","51,600","50,600"
"72100 Machinists and machining and tooling inspectors","695","58,000","58,500"
"72101 Tool and die makers","50","55,600","52,000"
"72102 Sheet metal workers","525","42,000","42,800"
"72103 Boilermakers","175","37,600","51,200"
"72104 Structural metal and platework fabricators and fitters","295","56,800","54,800"
"72105 Ironworkers","355","52,400","54,200"
"72106 Welders and related machine operators","1,770","48,400","48,320"
"722 Technical electrical trades","4,475","52,400","55,300"
"7220 Technical electrical trades and electrical power line and telecommunications workers","4,475","52,400","55,300"
"72200 Electricians (except industrial and power system)","2,560","44,000","45,440"
"72201 Industrial electricians","680","72,500","71,200"
"72202 Power system electricians","50","89,000","88,000"
"72203 Electrical power line and cable workers","390","93,000","92,800"
"72204 Telecommunications line and cable installers and repairers","305","46,000","46,000"
"72205 Telecommunications equipment installation and cable television service technicians","490","54,400","58,000"
"723 Technical construction trades","8,640","33,600","36,760"
"7230 Plumbers, pipefitters and gas fitters","2,035","48,800","49,720"
"72300 Plumbers","1,170","45,600","45,600"
"72301 Steamfitters, pipefitters and sprinkler system installers","725","52,000","54,600"
"72302 Gas fitters","140","56,800","59,000"
"7231 Carpenters and cabinetmakers","5,895","29,200","32,280"
"72310 Carpenters","5,635","28,800","32,080"
"72311 Cabinetmakers","255","39,200","36,800"
"7232 Bricklayers and insulators","710","32,000","36,900"
"72320 Bricklayers","365","31,800","34,600"
"72321 Insulators","345","35,200","39,400"
"724 Technical maintenance trades","10,195","51,600","53,300"
"7240 Machinery and transportation equipment mechanics (except motor vehicles)","4,110","64,500","65,500"
"72400 Construction millwrights and industrial mechanics","1,425","67,000","66,500"
"72401 Heavy-duty equipment mechanics","955","65,000","71,000"
"72402 Heating, refrigeration and air conditioning mechanics","665","55,600","56,300"
"72403 Railway carmen/women","20","0","70,000"
"72404 Aircraft mechanics and aircraft inspectors","920","63,600","63,300"
"72405 Machine fitters","40","51,600","60,000"
"72406 Elevator constructors and mechanics","80","88,000","88,000"
"7241 Automotive service technicians","5,120","43,200","44,720"
"72410 Automotive service technicians, truck and bus mechanics and mechanical repairers","4,270","44,400","46,040"
"72411 Auto body collision, refinishing and glass technicians and damage repair estimators","850","34,400","38,200"
"7242 Small engine and equipment mechanics and related repairers (including electrical components)","960","44,000","46,800"
"72420 Oil and solid fuel heating mechanics","280","47,600","49,200"
"72421 Appliance servicers and repairers","125","32,000","32,000"
"72422 Electrical mechanics","90","51,200","52,000"
"72423 Motorcycle, all-terrain vehicle and other related mechanics","355","55,600","55,200"
"72429 Other small engine and small equipment repairers","115","15,300","28,400"
"725 Technical equipment operation trades","405","71,500","71,200"
"7250 Crane operators and water well drillers","405","71,500","71,200"
"72500 Crane operators","365","75,000","72,400"
"72501 Water well drillers","35","68,500","60,000"
"726 Transportation officers and controllers","1,500","91,000","101,500"
"7260 Transportation officers and controllers","1,500","91,000","101,500"
"72600 Air pilots, flight engineers and flying instructors","480","110,000","117,200"
"72601 Air traffic controllers and related occupations","155","66,000","78,000"
"72602 Deck officers, water transport","645","91,000","99,400"
"72603 Engineer officers, water transport","190","92,000","90,000"
"72604 Railway traffic controllers and marine traffic regulators","35","82,000","90,000"
"729 Other technical trades","360","44,800","46,600"
"7299 Other technical trades","360","44,800","46,600"
"72999 Other technical trades and related occupations","360","44,800","46,600"
"73 General trades","20,645","37,200","39,800"
"731 General construction trades","2,910","25,200","28,560"
"7310 Concrete finishers, tilesetters and plasterers","755","30,600","34,100"
"73100 Concrete finishers","110","35,200","32,000"
"73101 Tilesetters","135","39,200","41,000"
"73102 Plasterers, drywall installers and finishers and lathers","505","27,800","32,600"
"7311 Roofers, glaziers, painters, decorators and floor covering installers","2,155","22,400","26,640"
"73110 Roofers and shinglers","555","22,400","30,400"
"73111 Glaziers","165","36,400","39,200"
"73112 Painters and decorators (except interior decorators)","1,095","17,200","22,840"
"73113 Floor covering installers","335","29,400","27,000"
"732 Building maintenance installers, servicers and repairers","4,215","33,200","34,880"
"7320 Building maintenance installers, servicers and repairers","4,215","33,200","34,880"
"73200 Residential and commercial installers and servicers","1,010","30,800","31,100"
"73201 General building maintenance workers and building superintendents","2,845","36,800","36,320"
"73202 Pest controllers and fumigators","90","42,800","43,000"
"73209 Other repairers and servicers","275","26,600","31,200"
"733 Transportation occupations","10,145","40,800","42,280"
"7330 Transport truck and transit drivers","10,075","40,400","42,120"
"73300 Transport truck drivers","7,645","44,800","44,560"
"73301 Bus drivers, subway operators and other transit operators","2,425","29,400","34,520"
"7331 Train crew operating occupations","75","65,000","64,000"
"73310 Railway and yard locomotive engineers","40","59,200","64,000"
"73311 Railway conductors and brakemen/women","30","65,000","60,000"
"734 Operators, drillers and blasters","3,375","47,200","48,160"
"7340 Operators, drillers and blasters","3,375","47,200","48,160"
"73400 Heavy equipment operators","2,975","48,400","49,200"
"73401 Printing press operators","345","36,000","35,800"
"73402 Drillers and blasters - surface mining, quarrying and construction","50","74,500","72,000"
"74 Mail and message distribution, other transport equipment operators and related maintenance workers","4,590","44,400","44,280"
"741 Mail and message distribution occupations","2,640","42,000","42,920"
"7410 Mail and message distribution occupations","2,640","42,000","42,920"
"74100 Mail and parcel sorters and related occupations","570","38,000","37,800"
"74101 Letter carriers","990","56,000","50,800"
"74102 Couriers and messengers","1,080","35,200","38,400"
"742 Transport equipment operators, utility maintenance and related workers","1,950","46,400","46,160"
"7420 Transport equipment operators, utility maintenance and related maintenance workers","1,950","46,400","46,160"
"74200 Railway yard and track maintenance workers","65","44,800","52,000"
"74201 Water transport deck and engine room crew","600","63,600","60,400"
"74202 Air transport ramp attendants","270","32,000","35,200"
"74203 Automotive and heavy truck and equipment parts installers and servicers","330","34,000","39,200"
"74204 Utility maintenance workers","130","55,200","56,000"
"74205 Public works maintenance equipment operators and related workers","550","41,600","37,200"
"75 Helpers and labourers and other transport drivers, operators and labourers","14,910","25,000","30,960"
"751 Helpers and labourers","10,790","28,000","33,840"
"7510 Longshore workers and material handlers","4,540","33,200","38,880"
"75100 Longshore workers","425","60,800","68,000"
"75101 Material handlers","4,120","31,600","35,880"
"7511 Trades helpers and labourers","6,255","24,600","30,200"
"75110 Construction trades helpers and labourers","5,955","24,600","30,240"
"75119 Other trades helpers and labourers","295","22,800","29,200"
"752 Transport drivers, operators and labourers","4,115","16,200","23,460"
"7520 Taxi, personal service and delivery service drivers","3,250","13,300","19,960"
"75200 Taxi and limousine drivers and chauffeurs","1,155","5,200","9,160"
"75201 Delivery service drivers and door-to-door distributors","2,095","21,800","25,920"
"7521 Water and rail transport operators and labourers and related occupations","870","35,200","36,600"
"75210 Boat and cable ferry operators and related occupations","160","47,200","49,200"
"75211 Railway and motor transport labourers","35","12,100","16,000"
"75212 Public works and maintenance labourers","670","35,200","34,700"
"8 Natural resources, agriculture and related production occupations","17,420","23,000","33,840"
"80 Middle management occupations in production and agriculture","2,430","24,000","37,040"
"800 Middle management occupations in production and agriculture","2,430","24,000","37,040"
"8001 Managers in natural resources production and fishing","240","101,000","126,000"
"80010 Managers in natural resources production and fishing","240","101,000","126,000"
"8002 Managers in agriculture, horticulture and aquaculture","2,185","19,000","27,400"
"80020 Managers in agriculture","1,975","18,200","26,160"
"80021 Managers in horticulture","155","30,800","34,500"
"80022 Managers in aquaculture","60","44,800","50,000"
"82 Supervisors in natural resources, agriculture and related production","1,005","47,600","60,300"
"820 Supervisors in natural resources, agriculture and related production","1,005","47,600","60,300"
"8201 Supervisors, logging and forestry","195","55,600","60,800"
"82010 Supervisors, logging and forestry","195","55,600","60,800"
"8202 Contractors and supervisors, mining, oil and gas","270","101,000","108,000"
"82020 Supervisors, mining and quarrying","150","100,000","100,000"
"82021 Contractors and supervisors, oil and gas drilling and services","115","107,000","118,000"
"8203 Contractors and supervisors, agriculture, horticulture and related operations and services","535","32,800","36,400"
"82030 Agricultural service contractors and farm supervisors","35","38,400","44,000"
"82031 Contractors and supervisors, landscaping, grounds maintenance and horticulture services","510","31,800","35,800"
"83 Occupations in natural resources and related production","3,740","38,400","47,920"
"831 Occupations in natural resources and fisheries","3,740","38,400","47,920"
"8310 Underground miners, oil and gas drillers and related occupations","230","75,000","92,000"
"83100 Underground production and development miners","155","78,500","84,000"
"83101 Oil and gas well drillers, servicers, testers and related workers","75","68,500","108,000"
"8311 Logging machinery operators","190","47,600","48,000"
"83110 Logging machinery operators","190","47,600","48,000"
"8312 Fishing vessel masters and fishermen/women","3,315","35,600","44,840"
"83120 Fishing masters and officers","405","52,400","62,600"
"83121 Fishermen/women","2,910","34,800","42,360"
"84 Workers in natural resources, agriculture and related production","4,760","23,200","30,960"
"841 Workers in natural resources and fisheries","4,760","23,200","30,960"
"8410 Mine service workers and operators in oil and gas drilling","115","60,400","57,000"
"84100 Underground mine service and support workers","30","0","60,000"
"84101 Oil and gas well drilling and related workers and services operators","80","60,800","56,000"
"8411 Logging and forestry workers","615","21,600","24,500"
"84110 Chain saw and skidder operators","295","20,200","21,600"
"84111 Silviculture and forestry workers","325","22,600","27,100"
"8412 Workers in agriculture and fishing occupations","4,030","23,200","31,200"
"84120 Specialized livestock workers and farm machinery operators","760","19,000","21,680"
"84121 Fishing vessel deckhands","3,275","23,800","33,440"
"85 Harvesting, landscaping and natural resources labourers","5,485","13,500","20,420"
"851 Harvesting, landscaping and natural resources labourers","5,485","13,500","20,420"
"8510 Agriculture, horticulture and harvesting labourers and related occupations","2,090","13,400","21,700"
"85100 Livestock labourers","660","15,000","21,480"
"85101 Harvesting labourers","440","7,600","12,640"
"85102 Aquaculture and marine harvest labourers","495","15,900","29,500"
"85103 Nursery and greenhouse labourers","475","14,100","20,200"
"85104 Trappers and hunters","10","0","90,000"
"8511 Mine and oil and gas drilling, services and related labourers","160","42,800","50,000"
"85110 Mine labourers","60","46,800","62,000"
"85111 Oil and gas drilling, servicing and related labourers","100","29,800","43,000"
"8512 Logging, forestry, landscaping and other related labourers","3,240","13,000","18,180"
"85120 Logging and forestry labourers","165","11,500","14,400"
"85121 Landscaping and grounds maintenance labourers","3,075","13,200","18,400"
"9 Occupations in manufacturing and utilities","19,760","36,000","42,840"
"90 Middle management occupations in manufacturing and utilities","1,720","76,500","87,200"
"900 Middle management occupations in manufacturing and utilities","1,720","76,500","87,200"
"9001 Managers in manufacturing and utilities","1,720","76,500","87,200"
"90010 Manufacturing managers","1,425","70,500","80,700"
"90011 Utilities managers","295","107,000","118,000"
"92 Processing, manufacturing and utilities supervisors and utilities operators and controllers","2,630","66,000","69,900"
"920 Supervisors, processing, manufacturing, assembly and fabrication occupations","1,150","62,800","69,200"
"9201 Supervisors, processing and manufacturing occupations","935","63,600","69,400"
"92010 Supervisors, mineral and metal processing","50","77,500","76,000"
"92011 Supervisors, petroleum, gas and chemical processing and utilities","275","94,000","98,000"
"92012 Supervisors, food and beverage processing","405","47,600","49,400"
"92013 Supervisors, plastic and rubber products manufacturing","100","81,000","78,000"
"92014 Supervisors, forest products processing","85","71,500","63,000"
"92015 Supervisors, textile, fabric, fur and leather products processing and manufacturing","20","0","44,000"
"9202 Supervisors, assembly and fabrication","220","57,600","69,000"
"92020 Supervisors, motor vehicle assembling","20","0","48,000"
"92021 Supervisors, electronics and electrical products manufacturing","40","56,400","60,000"
"92022 Supervisors, furniture and fixtures manufacturing","0","0","0"
"92023 Supervisors, other mechanical and metal products manufacturing","110","78,000","86,000"
"92024 Supervisors, other products manufacturing and assembly","50","48,400","52,000"
"921 Utilities equipment operators and controllers","1,480","67,000","70,500"
"9210 Utilities equipment operators and controllers","1,480","67,000","70,500"
"92100 Power engineers and power systems operators","1,030","70,000","76,200"
"92101 Water and waste treatment plant operators","450","63,200","57,600"
"93 Central control and process operators and aircraft assembly assemblers and inspectors","420","53,600","67,600"
"931 Central control and process operators in processing and manufacturing","305","61,200","78,000"
"9310 Central control and process operators in processing and manufacturing","305","61,200","78,000"
"93100 Central control and process operators, mineral and metal processing","20","0","56,000"
"93101 Central control and process operators, petroleum, gas and chemical processing","255","60,400","81,000"
"93102 Pulping, papermaking and coating control operators","25","0","68,000"
"932 Aircraft assemblers and aircraft assembly inspectors","115","35,200","41,000"
"9320 Aircraft assemblers and aircraft assembly inspectors","115","35,200","41,000"
"93200 Aircraft assemblers and aircraft assembly inspectors","115","35,200","41,000"
"94 Machine operators, assemblers and inspectors in processing, manufacturing and printing","7,995","33,600","36,000"
"941 Processing and manufacturing machine operators and related production workers","5,800","33,600","35,880"
"9410 Machine operators and related workers in mineral and metal products processing and manufacturing","405","41,600","44,000"
"94100 Machine operators, mineral and metal processing","60","57,600","52,000"
"94101 Foundry workers","0","0","0"
"94102 Glass forming and finishing machine operators and glass cutters","20","0","24,000"
"94103 Concrete, clay and stone forming operators","80","40,800","44,000"
"94104 Inspectors and testers, mineral and metal processing","20","0","45,000"
"94105 Metalworking and forging machine operators","75","32,800","36,000"
"94106 Machining tool operators","45","57,200","52,000"
"94107 Machine operators of other metal products","95","44,800","47,000"
"9411 Machine operators and related workers in chemical, plastic and rubber processing","1,540","54,000","49,360"
"94110 Chemical plant machine operators","70","38,000","42,000"
"94111 Plastics processing machine operators","270","46,800","41,600"
"94112 Rubber processing machine operators and related workers","1,205","56,400","51,600"
"9412 Machine operators and related workers in pulp and paper production and wood processing and manufacturing","545","40,000","40,200"
"94120 Sawmill machine operators","215","36,800","32,400"
"94121 Pulp mill, papermaking and finishing machine operators","100","73,500","67,000"
"94122 Paper converting machine operators","90","54,400","54,000"
"94123 Lumber graders and other wood processing inspectors and graders","45","28,400","33,000"
"94124 Woodworking machine operators","60","12,000","18,000"
"94129 Other wood processing machine operators","35","23,800","28,000"
"9413 Machine operators and related workers in textile, fabric, fur and leather products processing and manufacturing","495","22,600","24,200"
"94130 Textile fibre and yarn, hide and pelt processing machine operators and workers","90","22,600","25,200"
"94131 Weavers, knitters and other fabric making occupations","70","36,000","31,000"
"94132 Industrial sewing machine operators","310","19,000","22,600"
"94133 Inspectors and graders, textile, fabric, fur and leather products manufacturing","30","0","22,000"
"9414 Machine operators and related workers in food, beverage and associated products processing","2,475","22,000","28,120"
"94140 Process control and machine operators, food and beverage processing","800","42,000","41,100"
"94141 Industrial butchers and meat cutters, poultry preparers and related workers","110","38,400","34,000"
"94142 Fish and seafood plant workers","1,105","15,400","20,280"
"94143 Testers and graders, food and beverage processing","460","18,800","23,000"
"9415 Printing equipment operators and related occupations","335","32,800","31,400"
"94150 Plateless printing equipment operators","130","31,800","30,400"
"94151 Camera, platemaking and other prepress occupations","85","47,600","49,000"
"94152 Binding and finishing machine operators","65","12,000","18,000"
"94153 Photographic and film processors","50","21,800","23,000"
"942 Assemblers and inspectors in manufacturing","2,195","33,600","36,360"
"9420 Mechanical, electrical and electronics assemblers and inspectors","670","34,800","36,900"
"94200 Motor vehicle assemblers, inspectors and testers","225","26,600","28,800"
"94201 Electronics assemblers, fabricators, inspectors and testers","215","37,600","38,400"
"94202 Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing","65","26,400","29,000"
"94203 Assemblers, fabricators and inspectors, industrial electrical motors and transformers","0","0","0"
"94204 Mechanical assemblers and inspectors","95","57,600","58,000"
"94205 Machine operators and inspectors, electrical apparatus manufacturing","55","35,200","38,000"
"9421 Furniture, wood, plastic and other products assemblers, finishers and inspectors","1,530","33,200","36,160"
"94210 Furniture and fixture assemblers, finishers, refinishers and inspectors","115","25,200","25,600"
"94211 Assemblers and inspectors of other wood products","180","24,800","26,400"
"94212 Plastic products assemblers, finishers and inspectors","105","46,000","40,000"
"94213 Industrial painters, coaters and metal finishing process operators","390","44,400","45,800"
"94219 Other products assemblers, finishers and inspectors","740","32,400","34,500"
"95 Labourers in processing, manufacturing and utilities","6,990","23,200","28,080"
"951 Labourers in processing, manufacturing and utilities","6,990","23,200","28,080"
"9510 Labourers in processing, manufacturing and utilities","6,990","23,200","28,080"
"95100 Labourers in mineral and metal processing","125","29,000","32,500"
"95101 Labourers in metal fabrication","230","28,600","32,000"
"95102 Labourers in chemical products processing and utilities","160","23,400","32,000"
"95103 Labourers in wood, pulp and paper processing","455","30,000","31,600"
"95104 Labourers in rubber and plastic products manufacturing","1,095","52,800","46,300"
"95105 Labourers in textile processing and cutting","120","18,000","23,600"
"95106 Labourers in food and beverage processing","1,565","23,400","26,400"
"95107 Labourers in fish and seafood processing","1,795","14,800","20,660"
"95109 Other labourers in processing, manufacturing and utilities","1,445","21,400","23,100"


Abbreviation notes:

List of abbreviations and acronyms found within various Census products.
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm)



iBall:
i4,"Geography name: Nova Scotia; Geographic area type: Province; Geographic area type abbreviation: PR; Geographic level: Province or territory; Province or territory abbreviation: N.S.; Dissemination Geography Unique Identifier (DGUID): 2021A000212; Alternative geographic code: 12; Province or territory geocode: 12; Long-form total non-response rate: 3.9; Data quality flag: 00000; Data quality note: ..."



Footnotes:
1,"The concept of work activity is derived based on responses to the number of weeks worked during the reference year and during those weeks worked in 2020, if the individual worked mostly full-time or part-time. The work activity concept uses the reference year January to December 2020, as does census income data.  As a result, when comparing to income data, there could be workers reporting a certain number of weeks worked in 2020 without any earnings reported for that year. There could also be workers who did not report any work activity (no weeks worked) in 2020 but did have earnings in that year. Although it is possible to have pre-payment or retroactive pay of employment income, it is uncertain if the extent of such arrangements is captured accurately in the long-form questionnaire. Moreover, some self-employed workers receive dividends instead of earnings and proxy reporting as well as respondents' inaccurate recall for the year 2020 could also be contributing factors to explain these inconsistencies."
2,"Visible minority  Visible minority refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese."
3,"Highest certificate, diploma or degree  Highest certificate, diploma or degree is the classification used in the census to measure the broader concept of 'Educational attainment.'  This variable refers to the highest level of education that a person has successfully completed and is derived from the educational qualifications questions, which asked for all certificates, diplomas and degrees to be reported.  The general hierarchy used in deriving this variable (high school, trades, college, university) is loosely tied to the 'in-class' duration of the various types of education. At the detailed level, someone who has completed one type of certificate, diploma or degree will not necessarily have completed the credentials listed below it in the hierarchy. For example, a person with an apprenticeship or trades certificate or diploma may not have completed a high school certificate or diploma, nor does an individual with a 'master's degree' necessarily have a 'university certificate or diploma above bachelor level.' Although the hierarchy may not fit all programs perfectly, it gives a general measure of educational attainment.  This variable is reported for persons aged 15 years and over in private households."
4,"Work activity during the reference year    'Work activity during the reference year' refers to whether or not a person 15 years or over worked during the reference year. For those who did work, this refers to the number of weeks in which the person worked for pay or in self-employment during the reference year at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
5,"Age  Age refers to the age of a person (or subject) of interest at last birthday (or relative to a specified, well-defined reference date).  Gender  Gender refers to an individual's personal and social identity as a man, woman or non-binary person (a person who is not exclusively a man or a woman).  Gender includes the following concepts:  gender identity, which refers to the gender that a person feels internally and individually;  gender expression, which refers to the way a person presents their gender, regardless of their gender identity, through body language, aesthetic choices or accessories (e.g., clothes, hairstyle and makeup), which may have traditionally been associated with a specific gender.  A person's gender may differ from their sex at birth, and from what is indicated on their current identification or legal documents such as their birth certificate, passport or driver's licence. A person's gender may change over time.  Some people may not identify with a specific gender.  Given that the non-binary population is small, data aggregation to a two-category gender variable is sometimes necessary to protect the confidentiality of responses provided. In these cases, individuals in the category “non-binary persons” are distributed into the other two gender categories and are denoted by the “+” symbol."
6,""Visible minority" refers to whether a person is a visible minority or not, as defined by the Employment Equity Act. The Employment Equity Act defines visible minorities as "persons, other than Aboriginal peoples, who are non-Caucasian in race or non-white in colour." The visible minority population consists mainly of the following groups: South Asian, Chinese, Black, Filipino, Arab, Latin American, Southeast Asian, West Asian, Korean and Japanese.   In 2021 Census analytical and communications products, the term "visible minority" has been replaced by the terms "racialized population" or "racialized groups", reflecting the increased use of these terms in the public sphere."
7,"For more information on visible minority and population group variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Visible Minority and Population Group Reference Guide, Census of Population, 2021."
8,"For information on data quality for this variable, refer to the Education Reference Guide, Census of Population, 2021, Catalogue no. 98-500-X2021013."
9,"Refers to the number of weeks in which a person aged 15 years and over worked for pay or in self-employment in 2020 at all jobs held, even if only for a few hours, and whether these weeks were mostly full time (30 hours or more per week) or mostly part time (less than 30 hours per week)."
11,"Employment income - All income received as wages, salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period. For the 2021 Census, the reference period for income data is the calendar year 2020, unless otherwise specified."
12,"The median income of a specified group is the amount that divides the income distribution of that group into two halves, i.e., the incomes of half of the units in that group are below the median, while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative)."
13,"Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes are calculated for those with income (positive or negative)."
10,"Occupation (based on the National Occupational Classification [NOC] 2021 Version 1.0)  Occupation refers to the kind of work performed in a job, a job being all the tasks carried out by a particular worker to complete his or her duties. An occupation is a set of jobs that are sufficiently similar in work performed.  Kind of work is described in terms of tasks, duties and responsibilities, often including factors such as materials processed or used, the industrial processes used, the equipment used, and the products or services provided. Occupations are generally homogeneous with respect to skill type and skill level.  Occupation applies to the contribution of labour to that part of economic activity that is within the production boundary defined for the System of National Accounts."
